x,y,z
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,38,39
40,38,40
41,38,41
42,38,42
43,38,43
44,38,44
45,38,45
46,38,46
47,38,47
48,38,48
49,38,49
50,39,50
51,40,51
51,41,52
51,42,53
51,43,54
51,44,55
51,45,56
51,46,57
51,47,58
51,48,59
51,49,60
51,50,61
50,51,62
49,52,63
48,53,64
47,54,65
46,55,66
45,56,67
44,57,68
43,58,69
42,59,70
41,60,71
40,61,72
39,62,73
38,63,74
37,64,75
36,65,76
35,66,77
34,67,78
33,68,79
32,68,80
31,68,81
30,68,82
29,69,83
28,70,84
27,71,85
26,72,86
25,73,87
24,74,88
23,75,89
22,75,90
21,76,91
20,76,92
19,77,93
18,77,94
17,77,95
16,77,95
15,78,96
14,78,96
13,79,97
12,79,97
11,79,97
10,80,98
