x,y,z
1,1,1
1.000000001,1.000000001,1.000000001
1.000000009,1.000000009,1.000000009
1.000000044,1.000000044,1.000000044
1.000000138,1.000000138,1.000000138
1.000000337,1.000000337,1.000000337
1.000000696,1.000000696,1.000000696
1.000001285,1.000001285,1.000001285
1.000002185,1.000002185,1.000002185
1.000003489,1.000003489,1.000003489
1.000005301,1.000005301,1.000005301
1.000007735,1.000007735,1.000007735
1.00001092,1.00001092,1.00001092
1.000014992,1.000014992,1.000014992
1.000020099,1.000020099,1.000020099
1.0000264,1.0000264,1.0000264
1.000034065,1.000034065,1.000034065
1.000043271,1.000043271,1.000043271
1.000054208,1.000054208,1.000054208
1.000067075,1.000067075,1.000067075
1.00008208,1.00008208,1.00008208
1.000099441,1.000099441,1.000099441
1.000119384,1.000119384,1.000119384
1.000142145,1.000142145,1.000142145
1.000167968,1.000167968,1.000167968
1.000197107,1.000197107,1.000197107
1.000229823,1.000229823,1.000229823
1.000266386,1.000266386,1.000266386
1.000307074,1.000307074,1.000307074
1.000352172,1.000352172,1.000352172
1.000401973,1.000401973,1.000401973
1.00045678,1.00045678,1.00045678
1.000516899,1.000516899,1.000516899
1.000582646,1.000582646,1.000582646
1.000654344,1.000654344,1.000654344
1.000732321,1.000732321,1.000732321
1.000816914,1.000816914,1.000816914
1.000908465,1.000908465,1.000908465
1.001007322,1.001007322,1.001007322
1.00111384,1.00111384,1.00111384
1.00122838,1.00122838,1.00122838
1.001351308,1.001351308,1.001351308
1.001482997,1.001482997,1.001482997
1.001623823,1.001623823,1.001623823
1.00177417,1.00177417,1.00177417
1.001934425,1.001934425,1.001934425
1.002104982,1.002104982,1.002104982
1.002286239,1.002286239,1.002286239
1.002478597,1.002478597,1.002478597
1.002682464,1.002682464,1.002682464
1.002898251,1.002898251,1.002898251
1.003126373,1.003126373,1.003126373
1.00336725,1.00336725,1.00336725
1.003621306,1.003621306,1.003621306
1.003888966,1.003888966,1.003888966
1.004170663,1.004170663,1.004170663
1.004466829,1.004466829,1.004466829
1.004777903,1.004777903,1.004777903
1.005104324,1.005104324,1.005104324
1.005446537,1.005446537,1.005446537
1.005804987,1.005804987,1.005804987
1.006180124,1.006180124,1.006180124
1.006572399,1.006572399,1.006572399
1.006982265,1.006982265,1.006982265
1.007410179,1.007410179,1.007410179
1.0078566,1.0078566,1.0078566
1.008321987,1.008321987,1.008321987
1.008806803,1.008806803,1.008806803
1.009311512,1.009311512,1.009311512
1.009836578,1.009836578,1.009836578
1.010382468,1.010382468,1.010382468
1.010949652,1.010949652,1.010949652
1.011538597,1.011538597,1.011538597
1.012149775,1.012149775,1.012149775
1.012783657,1.012783657,1.012783657
1.013440714,1.013440714,1.013440714
1.01412142,1.01412142,1.01412142
1.014826247,1.014826247,1.014826247
1.015555669,1.015555669,1.015555669
1.01631016,1.01631016,1.01631016
1.017090194,1.017090194,1.017090194
1.017896245,1.017896245,1.017896245
1.018728788,1.018728788,1.018728788
1.019588295,1.019588295,1.019588295
1.02047524,1.02047524,1.02047524
1.021390096,1.021390096,1.021390096
1.022333336,1.022333336,1.022333336
1.023305431,1.023305431,1.023305431
1.024306853,1.024306853,1.024306853
1.025338071,1.025338071,1.025338071
1.026399554,1.026399554,1.026399554
1.02749177,1.02749177,1.02749177
1.028615186,1.028615186,1.028615186
1.029770267,1.029770267,1.029770267
1.030957478,1.030957478,1.030957478
1.032177279,1.032177279,1.032177279
1.033430132,1.033430132,1.033430132
1.034716496,1.034716496,1.034716496
1.036036828,1.036036828,1.036036828
1.037391582,1.037391582,1.037391582
1.038781212,1.038781212,1.038781212
1.040206167,1.040206167,1.040206167
1.041666898,1.041666898,1.041666898
1.043163849,1.043163849,1.043163849
1.044697465,1.044697465,1.044697465
1.046268186,1.046268186,1.046268186
1.047876451,1.047876451,1.047876451
1.049522695,1.049522695,1.049522695
1.051207352,1.051207352,1.051207352
1.05293085,1.05293085,1.05293085
1.054693617,1.054693617,1.054693617
1.056496077,1.056496077,1.056496077
1.05833865,1.05833865,1.05833865
1.060221752,1.060221752,1.060221752
1.062145799,1.062145799,1.062145799
