x,y,z
0.1000000015,0.1000000015,0.1000000015
0.1000000021,0.1000000021,0.1000000021
0.1000000116,0.1000000116,0.1000000116
0.1000000526,0.1000000526,0.1000000526
0.1000001625,0.1000001625,0.1000001625
0.1000003932,0.1000003932,0.1000003932
0.100000811,0.100000811,0.100000811
0.100001496,0.100001496,0.100001496
0.1000025421,0.1000025421,0.1000025421
0.1000040569,0.1000040569,0.1000040569
0.100006161,0.100006161,0.100006161
0.100008988,0.100008988,0.100008988
0.1000126843,0.1000126843,0.1000126843
0.100017409,0.100017409,0.100017409
0.100023333,0.100023333,0.100023333
0.1000306396,0.1000306396,0.1000306396
0.1000395236,0.1000395236,0.1000395236
0.1000501915,0.1000501915,0.1000501915
0.1000628609,0.1000628609,0.1000628609
0.1000777605,0.1000777605,0.1000777605
0.1000951299,0.1000951299,0.1000951299
0.1001152192,0.1001152192,0.1001152192
0.1001382886,0.1001382886,0.1001382886
0.1001646087,0.1001646087,0.1001646087
0.1001944599,0.1001944599,0.1001944599
0.100228132,0.100228132,0.100228132
0.1002659246,0.1002659246,0.1002659246
0.100308146,0.100308146,0.100308146
0.1003551139,0.1003551139,0.1003551139
0.1004071544,0.1004071544,0.1004071544
0.1004646023,0.1004646023,0.1004646023
0.1005278005,0.1005278005,0.1005278005
0.1005971001,0.1005971001,0.1005971001
0.10067286,0.10067286,0.10067286
0.1007554468,0.1007554468,0.1007554468
0.1008452344,0.1008452344,0.1008452344
0.1009426039,0.1009426039,0.1009426039
0.1010479435,0.1010479435,0.1010479435
0.101161648,0.101161648,0.101161648
0.1012841189,0.1012841189,0.1012841189
0.1014157642,0.1014157642,0.1014157642
0.1015569976,0.1015569976,0.1015569976
0.1017082393,0.1017082393,0.1017082393
0.1018699148,0.1018699148,0.1018699148
0.1020424555,0.1020424555,0.1020424555
0.1022262978,0.1022262978,0.1022262978
0.1024218836,0.1024218836,0.1024218836
0.1026296594,0.1026296594,0.1026296594
0.1028500768,0.1028500768,0.1028500768
0.1030835916,0.1030835916,0.1030835916
0.1033306644,0.1033306644,0.1033306644
0.1035917597,0.1035917597,0.1035917597
