x,y,z
0.3000000119,0.3000000119,0.3000000119
0.3000000133,0.3000000135,0.3000000135
0.3000000336,0.3000000366,0.3000000366
0.3000001208,0.3000001364,0.3000001364
0.3000003543,0.3000004032,0.3000004032
0.3000008434,0.3000009622,0.3000009622
0.3000017268,0.3000019718,0.3000019718
0.300003172,0.3000036234,0.3000036234
0.3000053739,0.3000061399,0.3000061399
0.3000085544,0.3000097748,0.3000097748
0.3000129617,0.3000148117,0.3000148117
0.3000188691,0.300021563,0.300021563
0.3000265743,0.300030369,0.300030369
0.3000363989,0.3000415971,0.3000415971
0.3000486874,0.300055641,0.300055641
0.3000638063,0.3000729198,0.3000729198
0.3000821436,0.3000938767,0.3000938767
0.300104108,0.3001189789,0.3001189789
0.300130128,0.300148716,0.300148716
0.3001606511,0.3001835995,0.3001835995
0.3001961434,0.3002241622,0.3002241622
0.3002370887,0.3002709568,0.3002709568
0.3002839876,0.3003245555,0.3003245555
0.3003373571,0.3003855492,0.3003855492
0.3003977296,0.3004545464,0.3004545464
0.3004656524,0.3005321725,0.3005321725
0.3005416871,0.3006190692,0.3006190692
0.3006264086,0.3007158938,0.3007158938
0.3007204046,0.3008233178,0.3008233178
0.3008242751,0.300942027,0.300942027
0.3009386315,0.30107272,0.30107272
0.3010640961,0.301216108,0.301216108
0.3012013011,0.3013729138,0.3013729138
0.3013508887,0.301543871,0.301543871
0.3015135098,0.3017297237,0.3017297237
0.3016898235,0.301931225,0.301931225
0.3018804968,0.3021491374,0.3021491374
0.3020862037,0.302384231,0.302384231
0.3023076248,0.3026372837,0.3026372837
0.3025454465,0.3029090799,0.3029090799
0.3028003606,0.3032004102,0.3032004102
0.3030730635,0.3035120707,0.3035120707
0.3033642561,0.3038448622,0.3038448622
0.3036746426,0.3041995897,0.3041995897
0.3040049306,0.3045770616,0.3045770616
0.3043558299,0.3049780894,0.3049780894
0.3047280527,0.3054034868,0.3054034868
0.3051223123,0.3058540692,0.3058540692
0.3055393232,0.3063306531,0.3063306531
0.3059798002,0.3068340554,0.3068340554
0.3064444583,0.3073650931,0.3073650931
0.3069340116,0.3079245826,0.3079245826
0.3074491734,0.3085133389,0.3085133389
0.3079906553,0.3091321754,0.3091321754
0.3085591672,0.3097819032,0.3097819032
0.3091554163,0.3104633307,0.3104633307
0.3097801068,0.3111772626,0.3111772626
0.3104339397,0.3119245002,0.3119245002
0.3111176122,0.3127058402,0.3127058402
0.3118318172,0.3135220744,0.3135220744
