x,y,z
0.628868,0.628868,0.628868
0.657735,0.657735,0.657735
0.686602,0.686602,0.686602
0.715470,0.715470,0.715470
0.744337,0.744337,0.744337
0.773205,0.773205,0.773205
0.802072,0.802072,0.802072
0.830940,0.830940,0.830940
0.859807,0.859807,0.859807
0.888675,0.888675,0.888675
0.917542,0.917542,0.917542
0.946410,0.946410,0.946410
0.975277,0.975277,0.975277
0.975277,1.025277,0.975277
0.975277,1.075277,0.975277
0.975277,1.125277,0.975277
0.975277,1.175277,0.975277
0.975277,1.225277,0.975277
0.975277,1.275277,0.975277
0.975277,1.325277,0.975277
0.975277,1.375277,0.975277
0.975277,1.425277,0.975277
0.975277,1.475277,0.975277
0.975277,1.525277,0.975277
0.975277,1.575277,0.975277
0.975277,1.625277,0.975277
0.975277,1.675277,0.975277
0.975277,1.725277,0.975277
0.975277,1.775277,0.975277
0.975277,1.825276,0.975277
0.975277,1.875276,0.975277
0.975277,1.925276,0.975277
0.975277,1.975276,0.975277
1.010633,2.010632,0.975277
1.060633,2.010632,0.975277
1.110633,2.010632,0.975277
1.160632,2.010632,0.975277
1.210632,2.010632,0.975277
1.260632,2.010632,0.975277
1.310632,2.010632,0.975277
1.360632,2.010632,0.975277
1.410632,2.010632,0.975277
1.460632,2.010632,0.975277
1.495988,2.045987,0.975277
1.545987,2.045987,0.975277
1.581343,2.081342,0.975277
1.631343,2.081342,0.975277
1.666698,2.116698,0.975277
1.716698,2.116698,0.975277
1.752053,2.152053,0.975277
1.802053,2.152053,0.975277
1.837409,2.187408,0.975277
1.887409,2.187408,0.975277
1.922764,2.222764,0.975277
1.972764,2.222764,0.975277
2.008119,2.222764,1.010633
2.008119,2.222764,1.060633
2.008119,2.222764,1.110633
2.008119,2.222764,1.160632
2.008119,2.222764,1.210632
2.008119,2.222764,1.260632
2.008119,2.222764,1.310632
2.008119,2.222764,1.360632
2.008119,2.222764,1.410632
2.008119,2.222764,1.460632
2.043475,2.222764,1.495988
2.043475,2.222764,1.545987
2.078830,2.222764,1.581343
2.078830,2.222764,1.631343
2.114185,2.222764,1.666698
2.114185,2.222764,1.716698
2.149541,2.222764,1.752053
2.149541,2.222764,1.802053
2.184896,2.222764,1.837409
2.184896,2.222764,1.887409
2.213763,2.251631,1.916276
2.213763,2.251631,1.966276
2.242631,2.280499,1.995144
2.242631,2.280499,2.045144
2.271498,2.309366,2.074011
2.271498,2.309366,2.124011
2.400000,2.400000,2.400000
